,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,CRS_DEP_TIME,DEP_TIME,TAXI_OUT,TAXI_IN,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DEP_DELAY
584,11.0,24.0,4.0,1,705.0,702.0,14.0,6.0,270.0,250.0,-3.0
585,4.0,21.0,4.0,1,1345.0,1345.0,13.0,4.0,80.0,79.0,0.0
587,3.0,23.0,3.0,1,1205.0,1202.0,9.0,4.0,85.0,75.0,-3.0
589,7.0,22.0,5.0,2,2005.0,2000.0,15.0,4.0,81.0,74.0,-5.0
590,10.0,24.0,1.0,1,1805.0,1829.0,7.0,6.0,80.0,84.0,24.0
591,4.0,10.0,7.0,11,2100.0,2056.0,8.0,9.0,124.0,119.0,-4.0
592,8.0,31.0,3.0,6,715.0,709.0,16.0,3.0,92.0,79.0,-6.0
594,7.0,22.0,5.0,6,1.0,2.0,13.0,5.0,248.0,241.0,1.0
595,1.0,18.0,1.0,6,800.0,758.0,21.0,4.0,164.0,141.0,-2.0
596,2.0,1.0,1.0,8,710.0,704.0,24.0,13.0,206.0,222.0,-6.0
597,9.0,21.0,3.0,7,1959.0,1957.0,18.0,4.0,267.0,248.0,-2.0
599,10.0,28.0,5.0,6,1935.0,1936.0,17.0,6.0,130.0,122.0,1.0
600,5.0,22.0,7.0,7,1005.0,957.0,15.0,4.0,239.0,229.0,-8.0
603,7.0,4.0,1.0,1,945.0,937.0,12.0,10.0,150.0,146.0,-8.0
604,5.0,16.0,1.0,2,1615.0,1621.0,8.0,14.0,130.0,114.0,6.0
605,5.0,20.0,5.0,1,700.0,659.0,16.0,6.0,170.0,169.0,-1.0
606,3.0,23.0,3.0,6,1447.0,1441.0,23.0,2.0,209.0,202.0,-6.0
608,1.0,24.0,7.0,11,1550.0,1540.0,9.0,7.0,123.0,119.0,-10.0
609,4.0,7.0,4.0,7,905.0,900.0,17.0,10.0,130.0,132.0,-5.0
610,7.0,6.0,3.0,7,1020.0,1026.0,13.0,12.0,102.0,97.0,6.0
611,6.0,6.0,1.0,7,1431.0,1433.0,24.0,7.0,162.0,165.0,2.0
613,12.0,12.0,1.0,4,1150.0,1148.0,14.0,4.0,118.0,109.0,-2.0
614,4.0,29.0,5.0,6,1351.0,1343.0,22.0,7.0,169.0,161.0,-8.0
615,10.0,18.0,2.0,1,605.0,600.0,13.0,6.0,115.0,106.0,-5.0
616,2.0,18.0,4.0,8,1629.0,1639.0,18.0,6.0,56.0,50.0,10.0
621,8.0,9.0,2.0,7,1130.0,1127.0,21.0,11.0,134.0,134.0,-3.0
623,8.0,17.0,3.0,7,1830.0,1846.0,14.0,8.0,164.0,154.0,16.0
624,10.0,23.0,7.0,0,1525.0,1520.0,28.0,4.0,68.0,75.0,-5.0
625,3.0,23.0,3.0,6,906.0,925.0,12.0,7.0,209.0,195.0,19.0
626,3.0,23.0,3.0,2,736.0,733.0,11.0,3.0,158.0,143.0,-3.0
627,7.0,11.0,1.0,0,1110.0,1101.0,14.0,6.0,112.0,102.0,-9.0
628,5.0,8.0,7.0,7,1251.0,1250.0,16.0,6.0,138.0,141.0,-1.0
629,7.0,10.0,7.0,0,710.0,715.0,13.0,5.0,95.0,88.0,5.0
630,7.0,5.0,2.0,7,1140.0,1133.0,9.0,13.0,109.0,100.0,-7.0
631,9.0,15.0,4.0,7,1755.0,1814.0,20.0,12.0,200.0,194.0,19.0
632,12.0,30.0,5.0,7,1200.0,1210.0,15.0,10.0,158.0,145.0,10.0
635,7.0,25.0,1.0,8,852.0,841.0,22.0,6.0,97.0,91.0,-11.0
636,3.0,7.0,1.0,3,1057.0,1111.0,20.0,5.0,150.0,151.0,14.0
640,3.0,28.0,1.0,8,1625.0,1614.0,12.0,10.0,59.0,44.0,-11.0
641,7.0,15.0,5.0,7,910.0,910.0,25.0,9.0,79.0,77.0,0.0
642,9.0,11.0,7.0,2,1920.0,1923.0,11.0,5.0,102.0,80.0,3.0
643,3.0,9.0,3.0,2,1920.0,1916.0,11.0,13.0,121.0,107.0,-4.0
